text,labels
Book a ticket from Yeshwanthpur to KR Market for eight person.,metro_booking O O O O B-from_station O B-to_station I-to_station O B-num_tickets O
I need to book five tickets from Talaghattapura to Jayanagar.,metro_booking O O O O B-num_tickets O O B-from_station O B-to_station
I want to reserve seven metro tickets from Kuvempu Road to Dr. B.R. Ambedkar Station Vidhana Soudha.,metro_booking O O O O B-num_tickets O O O B-from_station I-from_station O O O O O O O
I'd like to book one tickets on the metro from Baiyappanahalli to Rajarajeshwari Nagar.,metro_booking O O O O B-num_tickets O O O O O B-from_station O B-to_station I-to_station
Book six adult ticket from Doddakallasandra to Dasarahalli.,metro_booking O B-num_tickets O O O B-from_station O B-to_station
Book for 5 from Nayandahalli to KR Market.,metro_booking O O B-num_tickets O B-from_station O B-to_station I-to_station
Can I get a metro for nine person from Whitefield to KR Market?,metro_booking O O O O O O B-num_tickets O O B-from_station O B-to_station I-to_station
How many tickets for South End Circle to Kengeri? four.,metro_booking O O O O B-from_station I-from_station I-from_station O B-to_station B-num_tickets
Book a ticket from Indiranagar to Talaghattapura for six person.,metro_booking O O O O B-from_station O B-to_station O B-num_tickets O
I want to book metro tickets from Hosahalli to Rajajinagar for six people.,metro_booking O O O O O O O B-from_station O B-to_station O B-num_tickets O
I want to book metro tickets from Talaghattapura to Sir M. Visvesvaraya Station Central College for four people.,metro_booking O O O O O O O B-from_station O O O O O O O O B-num_tickets O
I want to reserve 4 metro tickets from Kengeri to Cubbon Park.,metro_booking O O O O B-num_tickets O O O B-from_station O B-to_station I-to_station
"10 tickets from Mysore Road to Jayaprakash Nagar, please.",metro_booking B-num_tickets O O B-from_station I-from_station O B-to_station I-to_station O
I want to book five tickets from Lalbagh to National College.,metro_booking O O O O B-num_tickets O O B-from_station O B-to_station I-to_station
Please book tickets from Kengeri to Nagasandra for a couple of.,metro_booking O O O O B-from_station O B-to_station O B-num_tickets I-num_tickets I-num_tickets
I'd like to book 5 tickets on the metro from Banashankari to Sir M. Visvesvaraya Station Central College.,metro_booking O O O O B-num_tickets O O O O O B-from_station O O O O O O O
Book for 1 from Dr. B.R. Ambedkar Station Vidhana Soudha to Sir M. Visvesvaraya Station Central College.,metro_booking O O B-num_tickets O O O O O O O O O O O O O O
I need a ticket from Talaghattapura to Whitefield.,metro_booking O O O O O B-from_station O B-to_station
"I want to go from Cubbon Park to Deepanjali Nagar, 10 ticket.",metro_booking O O O O O B-from_station I-from_station O B-to_station I-to_station B-num_tickets O
Please book tickets from Jayaprakash Nagar to Deepanjali Nagar for 4.,metro_booking O O O O B-from_station I-from_station O B-to_station I-to_station O B-num_tickets
Can I book 9 tickets from Nayandahalli to Mahalaxmi?,metro_booking O O O B-num_tickets O O B-from_station O B-to_station
Looking to book six tickets from Yeshwanthpur to Jalahalli.,metro_booking O O O B-num_tickets O O B-from_station O B-to_station
Looking to book two tickets from Dr. B.R. Ambedkar Station Vidhana Soudha to Kuvempu Road.,metro_booking O O O B-num_tickets O O O O O O O O O B-to_station I-to_station
Book a couple of adult ticket from Doddakallasandra to Lalbagh.,metro_booking O B-num_tickets I-num_tickets I-num_tickets O O O B-from_station O B-to_station
Book for 8 from Kuvempu Road to Talaghattapura.,metro_booking O O B-num_tickets O B-from_station I-from_station O B-to_station
I need 3 ticket from Sir M. Visvesvaraya Station Central College to Srirampura.,metro_booking O O B-num_tickets O O O O O O O O O B-to_station
How do I book 3 tickets from Indiranagar to Peenya?,metro_booking O O O O B-num_tickets O O B-from_station O B-to_station
I want to reserve 2 metro tickets from Vajrahalli to Baiyappanahalli.,metro_booking O O O O B-num_tickets O O O B-from_station O B-to_station
I need to book tickets for four from Doddakallasandra to Krantivira Sangolli Rayanna Railway Station.,metro_booking O O O O O O B-num_tickets O B-from_station O B-to_station I-to_station I-to_station I-to_station I-to_station
